triangle,sānjiǎoxíng
circle,yuánxíng
moon,yuèliang
square,zhèngfāngxíng
window,chuānghu
cracker,bǐnggān
rectangle,chángfāngxíng
blocks,jīmù
leg,tuǐ
shapes,xíngzhuàng
bo[x],hézi
wa[x],là
[y]atch,yóutǐng
[y]o-yo,liūliūqiú
[z]oo,dòngwùyuán
[z]ebra,bānmǎ
